Feature,Classifier,Accuracy,Balanced Accuracy score,F1 micro score,F1 macro score,F1 weighted score,MAE,Confusion matrix
corpus_2018_referral_sites_lvl_three_unweighted_64D,SVC ovo,0.6741784037558686,0.5541937569926202,0.6741784037558686,0.5697257647461126,0.6427106656926496,0.3464788732394366,"[[39, 134, 17], [14, 503, 45], [5, 132, 176]]"
corpus_2018_referral_sites_unweighted_128_D,LogisticRegression CV = 5,0.6619718309859155,0.5330906997577055,0.6619718309859155,0.5513806839025083,0.6252681622135708,0.3436619718309859,"[[36, 149, 5], [12, 514, 36], [1, 157, 155]]"
corpus_2018_referral_sites_unweighted_128_D,LogisticRegression CV = 10,0.6638497652582159,0.5398656898291571,0.6638497652582159,0.5603071772290725,0.630222940731933,0.3436619718309859,"[[40, 144, 6], [12, 510, 40], [2, 154, 157]]"
corpus_2018_referral_sites_unweighted_128_D,GradientBoostingClassifier,0.6694835680751173,0.5749253239519273,0.6694835680751173,0.5942709403855377,0.651445217362624,0.3586854460093897,"[[59, 112, 19], [28, 477, 57], [11, 125, 177]]"
corpus_2018_referral_sites_unweighted_128_D,SVC ovo,0.6976525821596244,0.5878929555877233,0.6976525821596244,0.6094463092937307,0.6728130953012006,0.3314553990610329,"[[52, 112, 26], [13, 507, 42], [5, 124, 184]]"
corpus_2018_referral_sites_unweighted_64_D,LogisticRegression CV = 5,0.6600938967136151,0.5337184672595272,0.6600938967136151,0.5547315517174513,0.6245517842652546,0.3464788732394366,"[[40, 145, 5], [9, 514, 39], [2, 162, 149]]"
corpus_2018_referral_sites_unweighted_64_D,LogisticRegression CV = 10,0.6516431924882629,0.5325902929415451,0.6516431924882629,0.5517768214378022,0.6197078899176677,0.3624413145539906,"[[42, 137, 11], [12, 499, 51], [4, 156, 153]]"
corpus_2018_referral_sites_unweighted_64_D,GradientBoostingClassifier,0.6685446009389672,0.5787596884380634,0.6685446009389672,0.5956312036610886,0.6525519249823343,0.37089201877934275,"[[62, 99, 29], [31, 471, 60], [13, 121, 179]]"
corpus_2018_referral_sites_unweighted_64_D,SVC ovo,0.6901408450704225,0.5763246159581642,0.6901408450704225,0.5997213858109768,0.6632124513182526,0.3342723004694836,"[[51, 118, 21], [11, 512, 39], [5, 136, 172]]"
corpus_2018_unweighted_lvl_one_128D,LogisticRegression CV = 5,0.6976525821596244,0.5963494458064824,0.6976525821596244,0.6142485919359314,0.6771295777510541,0.3323943661971831,"[[54, 113, 23], [24, 492, 46], [9, 107, 197]]"
corpus_2018_unweighted_lvl_one_128D,LogisticRegression CV = 10,0.6901408450704225,0.5902256408476537,0.6901408450704225,0.6050330774968455,0.6695525556599244,0.3455399061032864,"[[52, 110, 28], [24, 484, 54], [10, 104, 199]]"
corpus_2018_unweighted_lvl_one_128D,GradientBoostingClassifier,0.6751173708920187,0.5781222467103144,0.6751173708920187,0.5920476288878201,0.6564831210662898,0.3624413145539906,"[[53, 112, 25], [31, 475, 56], [15, 107, 191]]"
corpus_2018_unweighted_lvl_one_128D,SVC ovo,0.7183098591549296,0.6103417674631247,0.7183098591549296,0.6327640397205615,0.6948035584018437,0.3089201877934272,"[[54, 111, 25], [12, 512, 38], [4, 110, 199]]"
corpus_2018_unweighted_lvl_one_64D,LogisticRegression CV = 5,0.6863849765258216,0.5694171189117951,0.6863849765258216,0.5850920552141644,0.6565463087771781,0.3370892018779343,"[[41, 129, 20], [12, 503, 47], [5, 121, 187]]"
corpus_2018_unweighted_lvl_one_64D,LogisticRegression CV = 10,0.6882629107981221,0.5703490959386004,0.6882629107981221,0.5873661801702319,0.6588608409778248,0.3342723004694836,"[[42, 129, 19], [16, 507, 39], [5, 124, 184]]"
corpus_2018_unweighted_lvl_one_64D,GradientBoostingClassifier,0.6882629107981221,0.5871153472917454,0.6882629107981221,0.6044046040680576,0.6680067486385035,0.34460093896713617,"[[54, 113, 23], [26, 489, 47], [12, 111, 190]]"
corpus_2018_unweighted_lvl_one_64D,SVC ovo,0.7014084507042253,0.5872901615515942,0.7014084507042253,0.6077019977431553,0.6744161269972762,0.32018779342723,"[[47, 125, 18], [12, 510, 40], [5, 118, 190]]"
corpus_2018_unweighted_lvl_three_128D,LogisticRegression CV = 5,0.7220657276995305,0.6152910416069507,0.7220657276995305,0.6378834773693636,0.6996739397673858,0.3023474178403756,"[[55, 113, 22], [17, 512, 33], [4, 107, 202]]"
corpus_2018_unweighted_lvl_three_128D,LogisticRegression CV = 10,0.7230046948356808,0.6214729118682008,0.7230046948356808,0.6443446570369509,0.7031570731294682,0.30140845070422534,"[[59, 110, 21], [20, 507, 35], [5, 104, 204]]"
corpus_2018_unweighted_lvl_three_128D,GradientBoostingClassifier,0.7183098591549296,0.6252573294229514,0.7183098591549296,0.6412308187463364,0.7022214036947401,0.3305164319248826,"[[64, 93, 33], [22, 495, 45], [19, 88, 206]]"
corpus_2018_unweighted_lvl_three_128D,SVC ovo,0.7164319248826291,0.6170301283320977,0.7164319248826291,0.6412610326359224,0.6971324174449496,0.3117370892018779,"[[62, 104, 24], [15, 505, 42], [6, 111, 196]]"
